Source,Target,Type,Id,Label,timeset,Weight
260265236,Conservative,Directed,55220,,,2
787774368566816768,Conservative,Directed,55221,,,1
857464194626727936,Conservative,Directed,55222,,,6
1307814874999742464,Conservative,Directed,55223,,,4
2550603348,Conservative,Directed,55224,,,6
588883728,Conservative,Directed,55225,,,2
2151791810,Conservative,Directed,55226,,,5
1218282094213967875,Conservative,Directed,55228,,,2
298222364,Conservative,Directed,55229,,,1
1621356932,Conservative,Directed,55230,,,2
1178575157364850689,Conservative,Directed,55231,,,4
184975034,Conservative,Directed,55232,,,7
458039162,Conservative,Directed,55233,,,1
1421131101922332672,Conservative,Directed,55234,,,5
1023170244766883840,Conservative,Directed,55236,,,6
19352912,Conservative,Directed,55237,,,1
1388453968888619009,Conservative,Directed,55238,,,2
766392155258679296,Conservative,Directed,55239,,,2
965449397717749760,Conservative,Directed,55240,,,2
1408913981293662208,Conservative,Directed,55241,,,1
903430820312076289,Conservative,Directed,55242,,,2
3050546779,Conservative,Directed,55243,,,1
2331287820,Conservative,Directed,55245,,,1
810723502768713728,Conservative,Directed,55247,,,3
2735613917,Conservative,Directed,55249,,,4
1446352422272528385,Conservative,Directed,55251,,,32
76768423,Conservative,Directed,55252,,,2
184853651,Conservative,Directed,55253,,,28
588497903,Conservative,Directed,55254,,,5
1419746989449744396,Conservative,Directed,55255,,,1
1442234721505742858,Conservative,Directed,55256,,,1
1440509126216347656,Conservative,Directed,55257,,,104
2318113219,Conservative,Directed,55260,,,1
17111337,Conservative,Directed,55261,,,1
1421263144274567172,Conservative,Directed,55262,,,18
113654419,Conservative,Directed,55263,,,8
2150171849,Conservative,Directed,55264,,,2
1072692868651737088,Conservative,Directed,55265,,,1
1238641643558928384,Conservative,Directed,55266,,,1
733429965333520390,Conservative,Directed,55267,,,17
18158343,Conservative,Directed,55268,,,5
186980225,Conservative,Directed,55270,,,4
51346243,Conservative,Directed,55271,,,1
15331235,Conservative,Directed,55272,,,8
180088458,Conservative,Directed,55273,,,1
3010165940,Conservative,Directed,55275,,,5
461582174,Conservative,Directed,55278,,,1
2285515771,Conservative,Directed,55279,,,2
129316450,Bloc Québécois,Directed,55280,,,3
16014404,Bloc Québécois,Directed,55281,,,4
182401775,Bloc Québécois,Directed,55282,,,7
2370756440,Bloc Québécois,Directed,55283,,,2
596009099,Bloc Québécois,Directed,55284,,,3
1279885961841819649,Bloc Québécois,Directed,55285,,,26
2212712047,Bloc Québécois,Directed,55286,,,3
2801095093,Bloc Québécois,Directed,55287,,,46
1249029070886666240,Bloc Québécois,Directed,55288,,,8
600234980,Bloc Québécois,Directed,55289,,,29
115587493,Bloc Québécois,Directed,55290,,,11
1707025764,Bloc Québécois,Directed,55291,,,12
1433606604218408963,Bloc Québécois,Directed,55292,,,2
1917792367,Bloc Québécois,Directed,55293,,,2
2797134487,Bloc Québécois,Directed,55294,,,26
154915250,Bloc Québécois,Directed,55295,,,8
2400000572,Bloc Québécois,Directed,55296,,,6
559023147,Bloc Québécois,Directed,55297,,,7
1280337364993429504,Bloc Québécois,Directed,55298,,,8
2693735376,Bloc Québécois,Directed,55299,,,104
1125543746697924609,Bloc Québécois,Directed,55300,,,3
1212150302788345857,Bloc Québécois,Directed,55301,,,7
165100373,Bloc Québécois,Directed,55303,,,11
494170583,Bloc Québécois,Directed,55304,,,2
1251518605600206850,Bloc Québécois,Directed,55305,,,37
557289715,Bloc Québécois,Directed,55306,,,20
1009785173011988480,Bloc Québécois,Directed,55307,,,60
578590553,Bloc Québécois,Directed,55308,,,15
122999764,Bloc Québécois,Directed,55309,,,7
1423390095562915849,Bloc Québécois,Directed,55310,,,21
1350206209119444996,Bloc Québécois,Directed,55311,,,1
122144451,Bloc Québécois,Directed,55312,,,27
708387548859604992,Bloc Québécois,Directed,55313,,,27
11408322,Bloc Québécois,Directed,55316,,,12
2369459569,Bloc Québécois,Directed,55318,,,14
754319153951944704,Bloc Québécois,Directed,55320,,,5
2506299709,Bloc Québécois,Directed,55321,,,14
2363571329,Bloc Québécois,Directed,55322,,,16
104372498,Bloc Québécois,Directed,55323,,,1
105106236,Bloc Québécois,Directed,55326,,,3
599677550,Bloc Québécois,Directed,55328,,,20
92821882,Bloc Québécois,Directed,55329,,,24
633211148,Bloc Québécois,Directed,55330,,,6
2975160689,Bloc Québécois,Directed,55331,,,28
97904065,Bloc Québécois,Directed,55332,,,25
377591697,Bloc Québécois,Directed,55333,,,1
1106771831837675521,Bloc Québécois,Directed,55336,,,3
1040405782402084864,Bloc Québécois,Directed,55337,,,3
243903847,Bloc Québécois,Directed,55338,,,2
716760195729334272,Bloc Québécois,Directed,55340,,,1
896911058459340800,Bloc Québécois,Directed,55341,,,15
1277702514,Bloc Québécois,Directed,55344,,,4
2339595207,Bloc Québécois,Directed,55347,,,2
2196475508,Bloc Québécois,Directed,55349,,,2
281121545,Bloc Québécois,Directed,55351,,,4
4623339465,Bloc Québécois,Directed,55353,,,16
219566719,Bloc Québécois,Directed,55354,,,1
197607704,Bloc Québécois,Directed,55355,,,8
3379976578,Bloc Québécois,Directed,55357,,,4
105975090,Bloc Québécois,Directed,55358,,,30
1188166700,Bloc Québécois,Directed,55359,,,4
1939552088,Bloc Québécois,Directed,55362,,,8
2807682921,Bloc Québécois,Directed,55363,,,10
446272806,Bloc Québécois,Directed,55366,,,8
