,Source Comm Interaction Count,Target Comm Interaction Count,Id,Label,timeset,twittername,first name,last name,political affiliation,influence,betweenness_centrality,communityid,out_degree_centrality,in_degree_centrality,polygon
152,0.0,2.0,2891740872,,,HonAhmedHussen,Ahmed,Hussen,Liberal,0.100984,826485.025973,1.0,0.000335,0.013068000000000001,6
130,0.0,2.0,40550119,,,Carolyn_Bennett,Carolyn,Bennett,Liberal,0.150814,1614482.4852379998,1.0,0.0008939999999999999,0.021557,6
149,0.0,2.0,61521038,,,karinagould,Karina,Gould,Liberal,0.09034299999999999,1063782.9169370001,1.0,0.00011200000000000001,0.016419,6
112,0.0,2.0,22849568,,,SeamusORegan,Seamus,O'Regan,Liberal,0.184197,2048458.572334,1.0,0.000335,0.027476999999999998,6
215,0.0,3.0,1707636642,,,FP_Champagne,François-Philippe,Champagne,Liberal,0.198697,2610868.386972,1.0,0.00011200000000000001,0.024684,6
19,0.0,2.0,25127782,,,HedyFry,Hedy,Fry,Liberal,0.098852,1420781.896899,1.0,0.000335,0.017089,6
208,0.0,2.0,1646334073,,,AHousefather,Anthony,Housefather,Liberal,0.081758,755861.3110529999,1.0,0.00011200000000000001,0.013962,6
258,0.0,2.0,25813888,,,,,,Activist Organization,0.034113,380272.570942,1.0,0.00011200000000000001,0.00525,3
102,0.0,2.0,1162219997977960449,,,PatrickBWeiler,Patrick,Weiler,Liberal,0.045743,315721.791239,1.0,0.000223,0.009047,6
138,0.0,3.0,205786669,,,PamDamoff,Pam,Damoff,Liberal,0.07033099999999999,1012661.8279190001,1.0,0.000335,0.01318,6
106,0.0,2.0,234550882,,,stbstvdan,Dan,Vandal,Liberal,0.061421,295135.734099,1.0,0.00011200000000000001,0.005473,6
225,0.0,4.0,196717787,,,alexboulerice,Alexandre,Boulerice,NDP,0.076489,815552.738636,2.0,0.000223,0.007819,6
221,0.0,2.0,341866567,,,LoriIdlout,Lori,Idlout,NDP,0.067469,427064.839068,2.0,0.000223,0.007484,6
222,0.0,4.0,215632349,,,CharlieAngusNDP,Charlie,Angus,NDP,0.245437,4958323.6578,2.0,0.000335,0.04222,6
98,0.0,2.0,16220555,,,ElizabethMay,Elizabeth,May,Green Party,0.046518000000000004,748801.756173,2.0,0.00011200000000000001,0.009493999999999999,6
261,0.0,2.0,21410801,,,,,,Activist Organization,0.067839,819123.056375,3.0,0.00011200000000000001,0.01184,3
89,0.0,2.0,412708728,,,PierrePaulHus,Pierre,Paul-Hus,Conservative,0.099025,906184.7852290001,3.0,0.00011200000000000001,0.017313,6
74,0.0,3.0,343059330,,,Eric_Melillo,Eric,Melillo,Conservative,0.033338,546327.727789,3.0,0.00011200000000000001,0.007372,6
146,0.0,2.0,1957288050,,,GaryAVidal,Gary,Vidal,Conservative,0.022096,289576.107803,3.0,0.000223,0.004803,6
91,0.0,3.0,36133644,,,gerarddeltell,Gérard,Deltell,Conservative,0.076073,1443832.511074,3.0,0.00011200000000000001,0.01385,6
22,0.0,2.0,1143229947932229632,,,LucDesiletsBQ,Luc,Desilets,Bloc Québécois,0.13438599999999998,812987.549734,4.0,0.00011200000000000001,0.019547,6
151,,2.0,85428184,,,markhollandlib,Mark,Holland,Liberal,0.038765,471860.67285,1.0,0.0,0.007595,6
153,,2.0,47338701,,,MarciIen,Marci,Ien,Liberal,0.126394,1378890.35017,1.0,0.0,0.021445,6
142,,2.0,1942107584,,,JulieDzerowicz,Julie,Dzerowicz,Liberal,0.091099,643065.032032,1.0,0.0,0.01385,6
124,,3.0,20199202,,,OmarAlghabra,Omar,Alghabra,Liberal,0.151399,1875414.88951,1.0,0.0,0.023568000000000002,6
107,,2.0,720579941184757760,,,DLeBlancNB,Dominic,LeBlanc,Liberal,0.07167899999999999,331816.84663000004,1.0,0.0,0.010164,6
174,,2.0,1390883714,,,JudySgroMP,Judy A.,Sgro,Liberal,0.013956,274692.972884,1.0,0.0,0.002346,6
147,,2.0,593944500,,,pfragiskatos,Peter,Fragiskatos,Liberal,0.047294,314929.542913,1.0,0.0,0.005361,6
256,,2.0,277332906,,,,,,Activist Organization,0.11435799999999999,1933454.996833,2.0,0.0,0.019882,3
