,Id_Target,Id_Source,communityid_Target,communityid_Source,betweenness_centrality_Source,betweenness_centrality_Target
62,14079041,51184630,2.0,13.0,3285.553691,3091532.81163
88,14079041,122130825,2.0,1.0,75470.937745,3091532.81163
152,14079041,514482028,2.0,1.0,94250.501324,3091532.81163
163,14079041,609432652,2.0,1.0,771010.682534,3091532.81163
208,14079041,2434162616,2.0,1.0,1198768.934027,3091532.81163
209,14079041,2437928781,2.0,1.0,22948.186775,3091532.81163
241,14079041,3400323767,2.0,1.0,42020.723715,3091532.81163
313,14079041,1293510025680478208,2.0,3.0,65401.930127,3091532.81163
382,14538949,596787864,3.0,1.0,1321371.241195,1449558.989872
478,14538949,1288514327213944834,3.0,1.0,11086.885391,1449558.989872
507,14538949,1446352422272528385,3.0,1.0,3781095.477936,1449558.989872
540,15810950,1446352422272528385,3.0,1.0,3781095.477936,188022.679055
609,16014404,1171742672614113282,4.0,3.0,13806.008781,255072.588278
618,16014404,1384365976922181637,4.0,3.0,88676.276989,255072.588278
656,16220555,271989352,2.0,1.0,90227.548354,748801.756173
672,16220555,1138479456,2.0,3.0,80892.85220499999,748801.756173
682,16220555,2557859383,2.0,1.0,1132691.63006,748801.756173
715,16220555,1348675178318893056,2.0,1.0,22845.130735,748801.756173
749,17823761,16320622,2.0,1.0,7026.2638019999995,1516333.907811
757,17823761,22303151,2.0,1.0,66744.952535,1516333.907811
809,17823761,271989352,2.0,1.0,90227.548354,1516333.907811
820,17823761,363070453,2.0,1.0,816986.464468,1516333.907811
844,17823761,1400022122,2.0,8.0,191739.390434,1516333.907811
854,17823761,2413332228,2.0,1.0,82013.865474,1516333.907811
856,17823761,2557859383,2.0,1.0,1132691.63006,1516333.907811
943,17969963,124851971,3.0,1.0,29921.957960000003,267306.968747
947,17969963,896411018,3.0,1.0,6997.836983,267306.968747
950,17969963,2198725662,3.0,1.0,92736.712948,267306.968747
951,17969963,2321539819,3.0,1.0,114750.246462,267306.968747
960,17969963,1360345646826483717,3.0,1.0,409077.434489,267306.968747
978,18681111,150270263,2.0,1.0,368544.967871,386137.70775500004
1062,20139753,1661182770,3.0,2.0,42532.335935,475771.46333500004
1143,20199202,280677070,1.0,2.0,4988.256942,1875414.88951
1164,20199202,547671992,1.0,2.0,3110.0714390000003,1875414.88951
1194,20199202,1400022122,1.0,8.0,191739.390434,1875414.88951
1222,20199202,3362989235,1.0,3.0,22630.166963,1875414.88951
1231,20199202,711980580813066240,1.0,2.0,736622.894841,1875414.88951
1238,20199202,785448020628430849,1.0,2.0,30682.310849,1875414.88951
1243,20199202,845487573011173380,1.0,2.0,30682.310849,1875414.88951
1287,20199202,1304621913231286272,1.0,3.0,211979.68931400002,1875414.88951
1303,20199202,1408148208442908673,1.0,3.0,61287.634826,1875414.88951
1336,21410801,89155640,3.0,2.0,96564.245769,819123.056375
1373,21410801,2802164864,3.0,1.0,47559.622155000005,819123.056375
1375,21410801,3193936051,3.0,1.0,53136.715632,819123.056375
1405,21410801,1258426125296054272,3.0,1.0,47559.622155000005,819123.056375
1418,21951711,14837621,2.0,1.0,328825.166626,952013.664382
1438,21951711,48035511,2.0,1.0,33570.284126,952013.664382
1461,21951711,385678932,2.0,1.0,33653.757686000004,952013.664382
1465,21951711,540103190,2.0,1.0,184861.84582000002,952013.664382
1471,21951711,636649732,2.0,1.0,17503.121451,952013.664382
1472,21951711,703722876,2.0,1.0,63611.721285,952013.664382
1513,21951711,1222274097935073281,2.0,1.0,44166.994808999996,952013.664382
1560,22849568,28395319,1.0,3.0,96412.302056,2048458.572334
1572,22849568,81290051,1.0,2.0,19435.604173,2048458.572334
1668,22849568,1663428859,1.0,2.0,87863.823485,2048458.572334
1671,22849568,2263235551,1.0,3.0,105908.06779500001,2048458.572334
1700,22849568,3313678069,1.0,2.0,141387.312382,2048458.572334
1715,22849568,823933874551959552,1.0,3.0,19534.398497,2048458.572334
1744,22849568,1164864823882067968,1.0,2.0,29057.834458999998,2048458.572334
1760,22849568,1265853916077527042,1.0,2.0,24207.33868,2048458.572334
1776,22849568,1385555295976534018,1.0,3.0,9433.909965,2048458.572334
1789,23491400,16272844,2.0,1.0,3097217.448389,934916.4480370001
1801,23491400,29891001,2.0,1.0,11884.300346,934916.4480370001
1802,23491400,41043869,2.0,1.0,13647.255038999998,934916.4480370001
1820,23491400,245149238,2.0,1.0,7232.459755,934916.4480370001
1823,23491400,271989352,2.0,1.0,90227.548354,934916.4480370001
1825,23491400,292468351,2.0,1.0,69335.473552,934916.4480370001
1840,23491400,609432652,2.0,1.0,771010.682534,934916.4480370001
1855,23491400,2452465303,2.0,1.0,10088.981170000001,934916.4480370001
1856,23491400,2536457582,2.0,1.0,64710.697765,934916.4480370001
1873,23491400,808450734240972800,2.0,1.0,5500.600931,934916.4480370001
1883,23491400,1213405462021853185,2.0,1.0,395644.10859099997,934916.4480370001
1889,23491400,1267504449087553539,2.0,1.0,2505.529397,934916.4480370001
1916,24171225,1446352422272528385,3.0,1.0,3781095.477936,44557.122959
1926,24692082,715046844,2.0,3.0,98857.17800900001,319600.41152100003
1961,24913022,38268238,2.0,1.0,60256.167954,1024576.2817719999
