,average_activation_time
12220452,1.0
16014404,0.0
16213179,2.0
16450356,1.0
17721863,1.0
54034509,1.0
66446686,2.0
72950055,1.0
80034004,1.0
90723150,1.0
92821882,1.0
94045996,1.0
95982820,1.0
97904065,1.0
105106236,1.0
105975090,1.0
109567991,1.0
110475311,1.0
115587493,1.0
121477706,1.0
122144451,2.0
122999764,1.0
129316450,1.0
129863114,1.0
131317072,1.0
134876261,1.0
136778379,1.0
138366163,1.0
139712323,2.0
141667494,1.0
142889852,1.0
154915250,1.0
156487702,1.0
161552398,1.0
161748431,1.0
165100373,1.0
172566006,1.0
183734792,1.0
190516402,2.0
195049872,1.0
195684533,1.0
197607704,2.0
213469437,1.0
215423949,1.0
227101581,2.0
229570590,1.0
240364410,1.0
242506295,1.0
244804542,1.0
245428397,1.0
257179344,2.0
259067553,1.0
261772246,2.0
262305830,1.0
265108749,1.0
276093811,1.0
280064371,1.0
280223998,1.0
281121545,2.0
290683608,1.0
298558514,2.0
303922812,1.0
313250205,1.0
329810452,1.0
361881477,1.0
398073394,1.0
437853191,1.0
446272806,1.0
479088229,1.0
506618878,1.0
506816322,1.0
511101681,3.0
525719842,1.0
532739227,1.0
541177087,1.0
557289715,1.0
559023147,2.0
562762571,1.0
563410368,2.0
568429780,1.0
578590553,1.0
580978766,1.0
588746667,1.0
598641595,1.0
599677550,1.0
600234980,1.0
630583335,1.0
633211148,1.0
738577573,1.0
746307966,2.0
760497115,1.0
763991641,1.0
768306276,1.0
776856139,1.0
792139214,1.0
797430894,1.0
831073214,2.0
892064864,1.0
896523848,1.0
961562418,1.0
998328097,1.0
1032849138,2.0
1055761939,2.0
1113358962,1.0
1164339799,1.0
1165944978,1.0
1188166700,1.0
1268197814,1.0
1325446172,1.0
1325684365,1.0
1342848846,1.0
1553678239,1.0
1707025764,1.0
1738057094,1.0
1939552088,1.0
2181094165,1.0
2191882972,3.0
2218170768,1.0
2275886439,1.0
2323834254,1.0
2363048184,2.0
2363571329,2.0
2369459569,1.0
2377760095,1.0
2382402638,1.0
2388076304,1.0
2398652172,1.0
2400000572,2.0
2403281177,1.0
2435336635,1.0
2439166100,3.0
2506299709,1.0
2530008414,2.0
2693735376,1.0
2797134487,1.0
2801095093,1.0
2807682921,1.0
2857721650,1.0
2975160689,1.0
2986879348,1.0
2995187879,1.0
3015024748,1.0
3069298972,1.0
3082900265,1.0
3290638083,1.0
3433719760,1.0
3578717895,1.0
3948995117,1.0
4104867797,2.0
4329149122,2.0
4623339465,1.0
4834905915,1.0
708387548859604992,1.0
718235089562419201,1.0
750460751240888324,1.0
754319153951944704,1.0
817873908779073536,1.0
832055013467889664,1.0
838440724408516608,2.0
857850670057050112,1.0
864457447062351873,1.0
873256308660719617,1.0
896874095106826240,1.0
896911058459340800,1.0
917184736501657600,2.0
939043270549577728,1.0
979048605087563782,1.0
982359026410209280,1.0
996200380013916160,1.0
1008987247616512000,1.0
1009785173011988480,1.0
1012178620209606656,1.0
1019968606459842565,2.0
1040405782402084864,1.0
1045428236392517632,1.0
1053324714427465728,1.0
1058174548837888000,1.0
1063494232126689280,0.0
1066847336050147329,1.0
1080742203633262592,1.0
1090055713462865925,1.0
1100840274136363009,1.0
1106253079983390721,1.0
1109136672917209091,2.0
1113612686783283200,1.0
1125543746697924609,1.0
1131717785648807937,1.0
1135278580689190912,2.0
1171742672614113282,1.0
1211653933875089408,1.0
1222668550080475136,2.0
1241360253960237057,1.0
1246982847287746560,1.0
1248917771733237760,1.0
1249029070886666240,1.0
1250176138867027970,2.0
1251518605600206850,1.0
1252621477674921985,1.0
1279885961841819649,1.0
1287451187860639744,1.0
1288862425861836801,1.0
1293035801778049029,2.0
1294756234374111236,1.0
1297264439662608384,2.0
1303032382052851713,1.0
1310206245631078400,1.0
1312209568047431680,1.0
1326481061296082945,1.0
1334216352740085761,2.0
1337859846385889283,1.0
1342125115383939073,1.0
1349200706037805057,1.0
1353619250838183938,2.0
1358706577356775429,1.0
1372521854632611843,1.0
1383459804962639884,2.0
1384365976922181637,1.0
1401765171601850373,1.0
1402679875631190017,1.0
1423390095562915849,1.0
1424698080150974465,1.0
1426123212220424193,1.0
1426651135582998531,1.0
1426965765744439300,2.0
1428915745933742082,1.0
1435677654699675654,3.0
1437734637531504644,1.0
1439240496921161733,1.0
1440532151582134272,1.0
1440664285210767367,1.0
