id,bloc_exp2_average_activation_time
5438072,1.0
5662022,1.0
11408322,2.0
12034642,1.0
12220452,1.0
15616657,1.0
16014404,0.0
16130709,1.0
16213179,2.0
16450356,1.0
17721863,1.0
17931988,1.0
18379358,2.0
22224381,1.0
23321628,1.0
23713344,1.0
24516826,1.0
24990450,0.0
25371142,1.0
25710602,1.0
26730171,1.0
29829354,1.0
30176508,1.0
46198219,1.0
46401192,1.0
51471628,1.0
53154833,1.0
54034509,1.0
59096084,2.0
62320200,1.0
66446686,1.0
71413673,1.0
71444847,1.0
72950055,1.0
73273499,1.0
80034004,1.0
86405875,1.0
86425142,1.0
89319056,1.0
90723150,1.0
91928034,1.0
92821882,1.0
94045996,1.0
94226922,1.0
95982820,1.0
97904065,1.0
98045874,1.0
98134071,1.0
99740489,1.0
104525511,1.0
105106236,1.0
105372011,1.0
105975090,2.0
109567991,2.0
110475311,2.0
113072731,1.0
115587493,1.0
115967076,1.0
120115370,1.0
121477706,1.0
122144451,2.0
122999764,1.0
129316450,1.0
129863114,2.0
131317072,1.0
132191779,1.0
132281365,1.0
134876261,2.0
135000298,1.0
135340459,1.0
136778379,1.0
138366163,1.0
139712323,2.0
141667494,1.0
142889852,1.0
151192794,1.0
152012918,1.0
154915250,1.0
156487702,1.0
160681232,1.0
161552398,1.0
161748431,1.0
165100373,2.0
169524689,1.0
172566006,1.0
172889446,1.0
176897435,1.0
182401775,1.0
182812107,1.0
183734792,1.0
184049121,1.0
184847738,1.0
190410219,1.0
190516402,1.0
195049872,2.0
195684533,1.0
196607761,1.0
197607704,1.0
199314998,1.0
213469437,1.0
215423949,2.0
219845452,1.0
227101581,1.0
228354250,1.0
229289841,2.0
229570590,1.0
236490334,1.0
240364410,1.0
240942162,1.0
242506295,2.0
243903847,1.0
244804542,1.0
245243074,1.0
245428397,1.0
247320598,1.0
248103244,1.0
252905412,1.0
254051612,1.0
257179344,1.0
257530658,1.0
259067553,1.0
261772246,0.0
261944831,1.0
262305830,1.0
265108749,1.0
266779150,1.0
269485361,1.0
271136094,1.0
273262205,0.0
276093811,1.0
280064371,1.0
280223998,1.0
281121545,1.0
282149727,2.0
284131433,1.0
285804058,1.0
290683608,1.0
291878014,1.0
298558514,1.0
300211451,1.0
303922812,1.0
307572043,1.0
313250205,1.0
316283083,1.0
325913360,1.0
329810452,1.0
352278772,1.0
355376282,1.0
361881477,1.0
375766773,1.0
375844065,1.0
376391827,1.0
376497783,1.0
378623066,1.0
398073394,1.0
412597196,1.0
414473726,1.0
437853191,1.0
437991980,1.0
442436822,1.0
446272806,1.0
455900881,1.0
475302173,2.0
479088229,2.0
491606159,1.0
494626844,1.0
506618878,1.0
506816322,1.0
511101681,1.0
525719842,2.0
532739227,1.0
541177087,2.0
550951761,1.0
552741734,1.0
554522397,1.0
557289715,1.0
559023147,1.0
562762571,1.0
563410368,2.0
566822128,1.0
568429780,1.0
578590553,1.0
580978766,1.0
583364739,1.0
583543380,1.0
585989171,1.0
588746667,1.0
596009099,1.0
596787864,1.0
598641595,1.0
599677550,1.0
600234980,1.0
604092867,1.0
622097019,1.0
627726748,1.0
630583335,1.0
633211148,1.0
634365138,1.0
732988856,1.0
733289617,1.0
733455468,1.0
738577573,1.0
746307966,1.0
747064303,1.0
752608976,1.0
760497115,1.0
763991641,1.0
768217681,1.0
