id,con_exp2_average_activation_time
14248154,1.0
14398840,1.0
14678279,1.0
14781177,1.0
15333188,2.0
15810950,0.0
16278177,1.0
16386816,1.0
16493125,1.0
17103416,1.0
17513118,1.0
17903589,1.0
17911258,1.0
17954186,2.0
17969963,0.0
18108896,1.0
18158343,1.0
18367304,1.0
18686095,1.0
18774566,1.0
18828362,1.0
18946954,1.0
19088288,1.0
19611940,1.0
20005887,2.0
20221381,1.0
20478618,1.0
21410801,1.0
22209185,1.0
22810177,1.0
23364610,1.0
23608974,1.0
23619201,1.0
23993399,1.0
24063432,1.0
24556195,2.0
24558868,2.0
24571654,1.0
25040040,1.0
25397132,1.0
25514247,1.0
25610686,2.0
25668131,2.0
26613832,1.0
27297014,1.0
27315111,2.0
28395319,2.0
28407736,1.0
28436401,1.0
28910863,1.0
28941139,2.0
30865662,1.0
31067324,2.0
31525585,2.0
32485826,2.0
33189473,2.0
33949279,1.0
34606493,0.0
36133644,0.0
36740652,2.0
37347478,2.0
37539428,1.0
38698216,1.0
38891477,1.0
40735014,1.0
40790499,2.0
41696451,1.0
42234395,1.0
42577820,1.0
44208473,1.0
46244249,1.0
46398107,1.0
47080348,1.0
47371589,1.0
47602896,1.0
47880403,1.0
48406683,1.0
48475006,2.0
48520441,1.0
49110594,2.0
50326275,2.0
51019525,1.0
51196933,1.0
52441348,1.0
52734415,2.0
56124877,1.0
62311579,1.0
63464371,1.0
64029992,1.0
65506912,1.0
65544087,2.0
67637756,1.0
69177316,1.0
69233373,1.0
70860193,1.0
71113375,2.0
75368511,1.0
75984040,1.0
80908590,1.0
81435636,1.0
82679357,1.0
83738583,1.0
84191159,1.0
85594765,1.0
86264076,1.0
86425142,1.0
88696744,2.0
89259075,1.0
92807592,1.0
92821882,1.0
97709356,1.0
97751783,1.0
104733801,1.0
105712176,1.0
110276808,1.0
111324544,1.0
111492979,1.0
113654419,1.0
114358452,1.0
114374812,2.0
117607659,1.0
118141650,1.0
121238813,1.0
121451579,1.0
122053347,1.0
124566630,1.0
124851971,1.0
126353742,1.0
128712259,2.0
128826792,1.0
129395750,0.0
130634396,1.0
135000298,1.0
141637949,1.0
146483618,2.0
151941759,1.0
154888106,2.0
155972389,1.0
155999177,1.0
159582453,1.0
164317823,2.0
170433844,1.0
171283230,1.0
173851488,1.0
174320275,1.0
174341402,1.0
177435560,2.0
182447270,1.0
184853651,1.0
184975034,1.0
186980225,2.0
188123107,1.0
189550754,1.0
191921881,1.0
215426830,1.0
218213287,2.0
219538361,1.0
227435918,2.0
231979866,2.0
233210108,1.0
234868050,2.0
242827267,1.0
242867688,1.0
244811497,1.0
245502476,2.0
246825072,1.0
248202917,2.0
249025789,1.0
252139226,1.0
252351829,1.0
252636557,1.0
253217581,1.0
253909654,1.0
254370449,2.0
256552850,0.0
258170457,1.0
261022418,1.0
266603022,1.0
268832287,0.0
269363685,2.0
269930134,1.0
272110718,1.0
272445421,1.0
272685848,1.0
274261470,1.0
274269625,1.0
275249156,1.0
276212175,1.0
277806137,1.0
279679549,2.0
281715248,2.0
284236497,1.0
286257186,2.0
286467935,1.0
288465992,1.0
289406986,1.0
291627601,1.0
292044950,1.0
292091883,1.0
294650131,2.0
296553576,1.0
296847290,1.0
300313868,2.0
305361426,1.0
309031930,1.0
313250205,1.0
314719703,1.0
319425480,2.0
320292649,1.0
325068048,1.0
325997865,2.0
335712129,1.0
340691869,2.0
342820532,1.0
342972141,1.0
343059330,1.0
