id,lgbt_exp2_average_activation_time
7491592,1.0
14221144,1.0
16267310,1.0
16422863,2.0
16811701,1.0
18579611,1.0
18597273,2.0
20346252,2.0
22531935,1.0
23101207,1.0
23282993,1.0
23522098,1.0
26557104,1.0
28045785,1.0
29256016,1.0
29904143,1.0
35051540,1.0
37609730,1.0
38878429,1.0
40216513,1.0
52516962,1.0
54042169,1.0
58340767,1.0
59829657,1.0
67758676,2.0
73199415,1.0
77035084,1.0
80212065,1.0
84704052,1.0
85859978,1.0
92551736,1.0
116837959,2.0
119925381,0.0
124878802,1.0
140253506,1.0
165020784,1.0
188565420,1.0
196164822,1.0
217485938,1.0
224063162,1.0
266653082,1.0
275735174,1.0
294660973,0.0
297986745,1.0
341653196,1.0
342699819,1.0
349692386,1.0
365563514,1.0
366968661,1.0
371739649,1.0
378321467,1.0
384288098,1.0
470780364,1.0
491697655,1.0
495401684,1.0
509604564,1.0
515847342,1.0
535799622,1.0
543143031,1.0
559870034,1.0
563152589,1.0
571519594,1.0
577170668,1.0
577727470,1.0
577968691,1.0
578272027,1.0
593891991,1.0
596787864,1.0
603662056,1.0
605379442,1.0
622885791,1.0
624251860,1.0
721401357,1.0
734095130,1.0
775279674,1.0
998712356,1.0
1032507164,1.0
1065829609,1.0
1074335960,1.0
1198351736,1.0
1223950760,1.0
1280972258,1.0
1317418116,1.0
1335043297,1.0
1341618252,1.0
1346936882,1.0
1421968442,1.0
1428826266,1.0
1498327201,1.0
1571464364,1.0
1581712848,1.0
1650588223,2.0
2151613567,1.0
2151893489,1.0
2262304373,1.0
2353185104,1.0
2367303485,2.0
2394842400,2.0
2411078349,1.0
2479224015,1.0
2534622463,1.0
2620272561,1.0
2651576688,1.0
2720749324,1.0
2727310657,1.0
2749373577,1.0
2801061205,1.0
2829798301,1.0
2831610879,1.0
2853989866,1.0
2926114316,1.0
2968424080,1.0
3075929388,1.0
3087811674,1.0
3111765339,1.0
3153084524,2.0
3158178364,1.0
3257661611,1.0
3268565808,1.0
3419010088,1.0
3438124552,1.0
3607702640,1.0
4148412316,1.0
4273980252,1.0
4681656433,1.0
4729460081,1.0
4850122813,1.0
707364896153980928,1.0
725731648017424385,1.0
727519870590541824,1.0
727897637098135552,1.0
731469980890476545,1.0
753744536887824385,1.0
786738726466707460,1.0
820730609043505152,1.0
824357739501531136,1.0
845271811097055234,1.0
872152901870911489,1.0
878242924567441408,1.0
880108852162707456,1.0
892060639526395904,1.0
904365258399244288,1.0
925675836526776321,1.0
935335003084423168,1.0
935697022400602112,1.0
950848085802004480,1.0
951527727365988352,1.0
957808962983755776,1.0
967837552425119744,1.0
968303534822313984,1.0
992390491105882112,1.0
1005823371144318977,2.0
1024397417423106048,2.0
1042821954821087232,1.0
1060278863874478080,1.0
1069734050301128705,1.0
1080965055007592456,1.0
1081036726758531072,1.0
1093890667909124100,1.0
1097176821622284289,1.0
1112914064076931072,1.0
1115838887623122954,1.0
1117035592565628928,1.0
1133696644422275072,1.0
1142295084572073985,1.0
1203817853494779904,1.0
1212777267169873920,1.0
1219432023044939776,1.0
1239698227739459584,1.0
1247541393121087495,1.0
1286102971974025217,1.0
1316013080250216453,1.0
1346317368637603841,2.0
1350924172554366979,1.0
1354038378640134145,1.0
1357200256618795008,1.0
1357917347181453312,1.0
1371923720609095686,1.0
1378038493105037320,2.0
1380189591735517190,1.0
1390067256080621568,1.0
1393384383650975744,1.0
1396338835596795904,1.0
1437800221375963143,1.0
