Target,Source,Weight
158095776,1385933370090209280,"{""weight"":1}"
158095776,1416535505454338050,"{""weight"":8}"
1604931252,1416535505454338050,"{""weight"":1}"
158095776,544695802,"{""weight"":1}"
158095776,716257068538327040,"{""weight"":1}"
158095776,258170457,"{""weight"":1}"
1086084557009575936,258170457,"{""weight"":3}"
158095776,2817389862,"{""weight"":1}"
158095776,822476228548403200,"{""weight"":1}"
158095776,2353730881,"{""weight"":1}"
158095776,921026239808208896,"{""weight"":1}"
158095776,720934098223542272,"{""weight"":1}"
158095776,2922779039,"{""weight"":1}"
158095776,552891173,"{""weight"":1}"
158095776,982496635,"{""weight"":1}"
158095776,1433403537329819654,"{""weight"":1}"
158095776,1175052073605353473,"{""weight"":1}"
158095776,2784661153,"{""weight"":1}"
18681111,102887506,"{""weight"":1}"
18681111,952980338745147394,"{""weight"":1}"
18681111,1438871779779530755,"{""weight"":1}"
18681111,46975259,"{""weight"":1}"
18681111,1157395568135557120,"{""weight"":1}"
21951711,1157395568135557120,"{""weight"":1}"
18681111,563064119,"{""weight"":1}"
277332906,563064119,"{""weight"":1}"
158458133,563064119,"{""weight"":1}"
18681111,979827806023618560,"{""weight"":2}"
18681111,18308257,"{""weight"":1}"
18681111,846667915,"{""weight"":1}"
18681111,258916078,"{""weight"":1}"
18681111,1138564320390836224,"{""weight"":1}"
18681111,17912334,"{""weight"":1}"
18681111,2821464243,"{""weight"":2}"
18681111,928790819145842688,"{""weight"":1}"
18681111,753638148958216192,"{""weight"":1}"
18681111,2256955027,"{""weight"":1}"
18681111,1185936230393024512,"{""weight"":2}"
14079041,1185936230393024512,"{""weight"":3}"
18681111,3021899490,"{""weight"":1}"
18681111,13880132,"{""weight"":2}"
18681111,960624707820113920,"{""weight"":1}"
18681111,52003137,"{""weight"":1}"
18681111,1887595058,"{""weight"":1}"
18681111,331864347,"{""weight"":1}"
18681111,961514730,"{""weight"":1}"
18681111,70750793,"{""weight"":1}"
18681111,155629527,"{""weight"":1}"
18681111,1161351506983038976,"{""weight"":1}"
18681111,766360387,"{""weight"":1}"
18681111,150270263,"{""weight"":1}"
18681111,38471212,"{""weight"":1}"
18681111,83153695,"{""weight"":1}"
18681111,118937966,"{""weight"":1}"
18681111,871189841186357248,"{""weight"":1}"
18681111,293403080,"{""weight"":1}"
18681111,629539554,"{""weight"":1}"
18681111,1104422828,"{""weight"":1}"
18681111,602083976,"{""weight"":1}"
