,id,Id,Label,timeset,communityid,twittername,first name,last name,political affiliation,indegree,outdegree,degree,eigencentrality,community,polygon
0,18681111,18681111,,,2,,,,Activist Organization,46,0,46,0.025898,NDP,3
1,59686058,59686058,,,2,,,,Activist Organization,11,0,11,0.021728,NDP,3
2,150270263,150270263,,,1,,,,Activist Organization,30,1,31,0.037561000000000004,Liberal,3
3,119925381,119925381,,,5,,,,Activist Organization,108,0,108,0.080274,LGBTQ2S+,3
4,294660973,294660973,,,5,,,,Activist Organization,63,1,64,0.014769,LGBTQ2S+,3
5,14079041,14079041,,,2,,,,Activist Organization,326,0,326,0.198776,NDP,3
6,17969963,17969963,,,3,,,,Activist Organization,30,0,30,0.067743,Conservative,3
7,2715275551,2715275551,,,2,,,,Activist Organization,78,0,78,0.086319,NDP,3
8,377588094,377588094,,,2,,,,Activist Organization,52,0,52,0.086319,NDP,3
9,1342125115383939073,1342125115383939073,,,4,JeanDenisGaron1,Jean-Denis,Garon,Bloc Québécois,119,6,125,0.8286129999999999,Bloc Québécois,6
10,273262205,273262205,,,4,A_Larouche_Shef,Andréanne,Larouche,Bloc Québécois,56,0,56,0.468059,Bloc Québécois,6
11,24990450,24990450,,,4,renevillemure,René,Villemure,Bloc Québécois,76,0,76,0.682667,Bloc Québécois,6
12,3025416359,3025416359,,,4,yvesperronbq,Yves,Perron,Bloc Québécois,35,0,35,0.45145,Bloc Québécois,6
13,1425866189780160514,1425866189780160514,,,4,POhara2021,Patrick,O'Hara,Bloc Québécois,23,4,27,0.319997,Bloc Québécois,6
14,2530008414,2530008414,,,4,krimichaudbq,Kristina,Michaud,Bloc Québécois,81,1,82,0.358624,Bloc Québécois,6
15,2800741820,2800741820,,,4,trudel_denis,Denis,Trudel,Bloc Québécois,107,0,107,0.43111099999999997,Bloc Québécois,6
16,16014404,16014404,,,4,sbergeron,Stéphane,Bergeron,Bloc Québécois,73,4,77,0.556683,Bloc Québécois,6
17,1063494232126689280,1063494232126689280,,,4,JulieVignolaBL,Julie,Vignola,Bloc Québécois,144,0,144,0.446719,Bloc Québécois,6
