id,full_lib_average_activation_time
863841,2.0
1263631,1.0
5548282,1.0
7801522,1.0
9898272,1.0
9946272,2.0
11211852,1.0
12034642,2.0
12688692,1.0
12804792,1.0
13218432,1.0
14050532,1.0
14200800,2.0
14218890,1.0
14260108,1.0
14260960,1.0
14262411,1.0
14354253,1.0
14411084,1.0
14480339,1.0
14705053,1.0
14807056,1.0
14837621,2.0
14968594,1.0
14975580,1.0
15103166,1.0
15193285,1.0
15208518,2.0
15232412,1.0
15285543,1.0
15391466,1.0
15407637,1.0
15557829,1.0
15579178,1.0
15677734,2.0
15827727,1.0
15961009,1.0
15986414,1.0
16116073,1.0
16146062,1.0
16158419,1.0
16195103,1.0
16213179,1.0
16272844,1.0
16279532,1.0
16320622,1.0
16365907,1.0
16382805,1.0
16397147,2.0
16397838,1.0
16411223,1.0
16552108,1.0
16620002,1.0
16668042,1.0
16700548,1.0
16702010,1.0
16750895,1.0
16927010,1.0
16958167,1.0
16977860,1.0
16982577,1.0
17174791,2.0
17204460,2.0
17247203,1.0
17280115,1.0
17389318,2.0
17391764,1.0
17544187,1.0
17568019,2.0
17622465,1.0
17668656,2.0
17686171,1.0
17716504,1.0
17818646,1.0
17829189,1.0
17834196,1.0
17875426,1.0
17901103,1.0
17954186,1.0
18018958,1.0
18100559,1.0
18191382,1.0
18248641,1.0
18360735,1.0
18517784,1.0
18535591,1.0
18536738,1.0
18540267,1.0
18733144,2.0
18776647,1.0
18805723,1.0
18872226,1.0
18947782,1.0
19004331,1.0
19006397,1.0
19045373,2.0
19203412,1.0
19417607,1.0
19540359,2.0
19543597,1.0
19561169,1.0
19567149,1.0
19634262,0.0
19903199,1.0
19997195,1.0
20090340,1.0
20199202,0.0
20229729,1.0
20382860,1.0
20523517,1.0
20530732,1.0
20570921,1.0
20635755,1.0
20657236,1.0
20917723,1.0
21147553,1.0
21221149,1.0
21435492,1.0
21499014,1.0
21665234,1.0
21889071,1.0
22088704,1.0
22176387,1.0
22233855,1.0
22237383,1.0
22279004,1.0
22296933,1.0
22303151,1.0
22411180,1.0
22413078,1.0
22446684,2.0
22485207,1.0
22501387,1.0
22565926,1.0
22570694,1.0
22730871,1.0
22849568,0.0
22859291,1.0
22927681,1.0
22988921,1.0
23262377,1.0
23281420,1.0
23308183,1.0
23329546,1.0
23381262,2.0
23469093,1.0
23489591,1.0
23510621,1.0
23520166,1.0
23604785,1.0
23750353,1.0
23768120,1.0
23958713,1.0
23962378,2.0
24272959,1.0
24628102,2.0
24631971,1.0
24779591,1.0
24890412,1.0
24892031,1.0
24986447,2.0
25121600,1.0
25127782,1.0
25178182,1.0
25192604,1.0
25206117,1.0
