,Source,Target,Weight, Target, Weight,_merge
83009,467817388,196717787,1,,,left_only
83010,3135148227,196717787,1,,,left_only
83011,872810605,196717787,2,,,left_only
83012,271504586,196717787,1,,,left_only
83013,306967462,196717787,1,,,left_only
83014,3299469609,196717787,1,,,left_only
83015,1225848216467509248,196717787,1,,,left_only
83016,259388196,196717787,1,,,left_only
83017,525910396,196717787,1,,,left_only
83018,358143304,196717787,1,,,left_only
83019,1088545656002801664,196717787,1,,,left_only
83020,1283460034182209537,196717787,1,,,left_only
83021,1326306504027287554,196717787,1,,,left_only
83022,100874975,196717787,1,,,left_only
83023,811549418,196717787,1,,,left_only
83024,145058470,196717787,1,,,left_only
83025,15892547,196717787,1,,,left_only
83026,2797935107,196717787,1,,,left_only
83027,27388441,196717787,1,,,left_only
83028,288495993,196717787,1,,,left_only
83029,77596220,196717787,1,,,left_only
83030,891058415195303939,196717787,1,,,left_only
83031,1095768409449459712,196717787,1,,,left_only
83032,881426857,196717787,1,,,left_only
83033,17388526,196717787,1,,,left_only
