Source, Target
1385933370090209280,321752222
1416535505454338050,1646334073
1416535505454338050,177347829
544695802,14079041
716257068538327040,1942107584
258170457,36133644
258170457,211564038
2817389862,25127782
822476228548403200,16180205
2353730881,2249182471
921026239808208896,1382491059247255554
720934098223542272,739149720
2922779039,266855812
552891173,277332906
982496635,4026045455
1433403537329819654,1420552213253038080
1175052073605353473,3187763194
2784661153,1063494232126689280
102887506,211564038
952980338745147394,34606493
1438871779779530755,158458133
46975259,14538949
1157395568135557120,524557553
1157395568135557120,1899063048
563064119,205786669
563064119,1144289639924207616
563064119,737359208945844224
979827806023618560,2852899113
18308257,1722999380
846667915,282526718
258916078,256775505
1138564320390836224,1342125115383939073
17912334,215632349
2821464243,1002181382
928790819145842688,86384661
753638148958216192,60916234
2256955027,283226685
1185936230393024512,271073165
1185936230393024512,343059330
3021899490,47338701
13880132,631988630
960624707820113920,1942107584
52003137,29754743
1887595058,282526718
331864347,273262205
961514730,720579941184757760
70750793,14079041
155629527,1646334073
1161351506983038976,142731825
766360387,1646334073
150270263,989311745100566529
38471212,36133644
83153695,283226685
118937966,106524304
871189841186357248,524557553
293403080,720579941184757760
629539554,1899063048
1104422828,22849568
602083976,714340176
1311896805920043009,215632349
1318741345905922048,1722999380
25314619,20139753
104300984,1707636642
15702055,1143229947932229632
1153463878195589125,21951711
15633240,1162219997977960449
14991184,40550119
1242522201770856449,20199202
1440522413687521295,564207331
1292608204845834241,189349553
1446846657551683588,273262205
1389700907697270787,417389780
1445880242707570691,159655782
1545912997,3375064758
831084798621782016,25127782
55976571,631988630
305401065,16220555
704798725747531776,177347829
704798725747531776,14079041
704798725747531776,14538949
704798725747531776,22849568
704798725747531776,277332906
704798725747531776,86384661
704798725747531776,17823761
16220555,14538949
4744498950,382949896
766759351973404672,1086084557009575936
47781573,45976740
994077337,272250877
14055736,276713213
1236010900693356549,205786669
1171683272,564207331
1338338931792756737,86384661
562243642,14079041
15772683,14538949
1251340447387172868,1162219997977960449
1350484767255519233,35863342
1335046616697372675,42702616
20750271,417389780
20750271,269930134
20750271,366225624
1162219997977960449,29754743
1162219997977960449,2344419362
130909683,737359208945844224
1364261390614106113,29545977
44416854,268832287
1511003670,23491400
536594609,25127782
536594609,412708728
536594609,339752726
536594609,341866567
536594609,2352629420
273683993,366225624
273683993,911471588
215632349,2852899113
215632349,24913022
215632349,1002181382
1156602559378804741,175259033
1156033982586208256,177347829
1156033982586208256,1425866189780160514
139819609,37044121
413514250,25127782
413514250,412708728
413514250,1406573892
1189800120,61521038
138418077,61521038
382489139,739149720
374300583,22849568
3226840807,524557553
133863908,2852899113
57127265,175259033
1417929933800751104,25127782
55823004,158458133
1447315781289750532,47338701
14262411,211564038
14262411,40246161
1707636642,25127782
845487573011173380,205786669
845487573011173380,578640179
785448020628430849,205786669
785448020628430849,17823761
77283552,83508245
38055290,488052222
34506336,36133644
242798024,2848993491
138077463,17969963
138077463,280552762
138077463,366225624
138077463,58319221
138077463,283226685
138077463,803381983
138077463,2344419362
196717787,211564038
196717787,47338701
18519855,335361064
268824309,1381435843492085760
2439928526,17823761
2439928526,714340176
1169378542737661954,436087744
299228245,35863342
2369365718,1170770038208565248
1373493122,803381983
2834753506,382949896
2834753506,29754743
999476893970763777,24990450
120320139,1899063048
84734389,579377522
84734389,21410801
15407637,283226685
15407637,196717787
1301967293849755653,23491400
324602007,883774859452579840
292667439,20199202
292667439,280552762
522345885,245954929
12599562,2352629420
4856851754,86384661
1248842158553141250,215632349
1248842158553141250,1707636642
4026045455,25127782
3303438653,564207331
1129203001,577727470
2813664079,58319221
14518712,20199202
95209129,29754743
119797208,3188558830
201984482,3257047456
201984482,215632349
17105128,24692082
33826892,2352629420
273866823,215632349
37552089,196717787
37552089,366225624
37552089,40550119
37552089,1604931252
37552089,2852899113
37552089,1171073846335721472
37552089,1342125115383939073
37552089,2555308646
37552089,1143342270399373313
37552089,2800741820
37552089,234550882
37552089,19634262
37552089,360677740
341866567,883774859452579840
341866567,417389780
262436837,1203545123356839936
1092244447184719873,1342125115383939073
2548489298,1144289639924207616
2548489298,283226685
2548489298,1360838234
516915897,868245382148521984
965028316460797953,211564038
195899568,3375064758
2432750568,20199202
331067472,1086084557009575936
272133230,215632349
272133230,283226685
272133230,1063494232126689280
272133230,17823761
272133230,2555308646
964446120402300928,737359208945844224
1573418346,720579941184757760
89496127,1707636642
735508941258399744,1707636642
542244178,40246161
1005899772916477952,720579941184757760
366171300,1646334073
366171300,343059330
29545977,714340176
965478102594863104,36133644
965478102594863104,24171225
965478102594863104,22849568
965478102594863104,1143229947932229632
366225624,218952640
366225624,47452040
393713239,3188558830
1185972487538040832,335769776
889661863100907520,14538949
2813399220,1722999380
2436061363,412708728
17900758,215632349
17900758,129395750
17900758,500232993
1009115210546929664,412708728
3148281878,29754743
1064964294448750595,266855812
1064964294448750595,4504267216
1064964294448750595,3375064758
814289414,196717787
2896012540,343059330
1280589273335500801,335361064
1280589273335500801,341866567
1227766472921014272,24990450
1227766472921014272,65666257
869639001400942592,2242940071
116679707,1604931252
342176065,631988630
1890389540,883774859452579840
2785990732,436087744
40591485,272185225
3191905064,500232993
3191905064,2352629420
25813888,382949896
237536271,35863342
16982577,129395750
1563418116,2149496034
2580573206,196717787
275979196,37044121
193471925,1895316878
53772503,256552850
16195103,24913022
16195103,245564555
2776775090,577727470
998590102573023232,417389780
179129165,1646334073
27101995,86384661
872156101,1002181382
128908662,35863342
363070453,524557553
363070453,22849568
363070453,343059330
363070453,720579941184757760
363070453,266855812
363070453,1707636642
363070453,564207331
363070453,791282631006621696
363070453,1318671397560979456
363070453,1143229947932229632
363070453,1342125115383939073
363070453,215632349
363070453,1166717268975333376
363070453,3375064758
363070453,16220555
363070453,85428184
363070453,412708728
363070453,631988630
363070453,34606493
363070453,2891740872
25127782,412708728
25127782,272185225
25127782,1646334073
1166717268975333376,16014404
1166717268975333376,803381983
40550119,14079041
40550119,266048357
40550119,269930134
40550119,277332906
40550119,20199202
40550119,17969963
40550119,1203545123356839936
40550119,266855812
417389780,119925381
61521038,14079041
2513973205,20199202
45848808,211564038
45848808,417524720
45848808,3375064758
45848808,2530008414
45848808,2852899113
45848808,17823761
45848808,61521038
1646334073,196717787
21221149,52080359
507802048,2375818352
190231473,739149720
993705834470367232,1143229947932229632
993705834470367232,272185225
993705834470367232,1342125115383939073
993705834470367232,3188558830
360677740,720579941184757760
1362286033,23491400
3079986094,335361064
3079986094,177347829
3079986094,737359208945844224
17280115,1381435843492085760
274220538,1086084557009575936
274220538,366225624
274220538,25127782
274220538,266855812
51184630,52080359
51184630,47452040
908811901,3257047456
408526152,24990450
371447080,1063494232126689280
2314531026,86384661
1172199939243425792,2352629420
390392773,283226685
2289973748,1342125115383939073
495066576,261772246
495066576,272250877
495066576,280552762
495066576,360677740
495066576,4026045455
1545053600,20139753
1545053600,2352629420
1545053600,40550119
1545053600,22849568
1545053600,720579941184757760
1545053600,16014404
1545053600,1086084557009575936
1545053600,29754743
1545053600,2530008414
1545053600,177347829
1545053600,2852899113
1318671397560979456,343059330
2891740872,47338701
2891740872,417389780
2891740872,1899063048
103297393,412708728
103297393,1942107584
1851634098,436087744
398483708,47338701
398483708,417389780
1313212802799206406,4104867797
27652488,1899063048
89609585,274507495
44618408,321752222
880491635896922112,2715275551
880491635896922112,739149720
2761710808,1143229947932229632
1240867313445830656,276713213
1347654502787076096,94176238
1347654502787076096,575497430
1347654502787076096,22849568
982630470008553474,215632349
982630470008553474,45976740
982630470008553474,1382491059247255554
82167100,218952640
110754237,593944500
768069259100622848,215632349
1304210384367349770,2852899113
1300291239581892609,1707636642
2253903906,1125543746697924609
78403337,737359208945844224
862703683,215632349
1071951545212723200,282526718
840470152391016448,36133644
498423001,61521038
1197522605760303104,1002181382
510093784,17823761
447415943,16220555
1201788959719936007,83508245
1633538270,868245382148521984
122525211,2352629420
192842634,1063494232126689280
551152504,20199202
378351271,488052222
57033548,417389780
255067647,3402128080
255067647,2352629420
255067647,2242940071
255067647,412708728
255067647,3188558830
255067647,277332906
255067647,2332742508
719557076599619584,1318671397560979456
980875592,2852899113
1051100859831148544,47338701
2300474413,24692082
1238447220,564207331
994295935,20199202
838098877,1646334073
829761553218072576,2332742508
951280545421410305,14538949
1157684886,1381435843492085760
80970676,38625077
18923250,47452040
1136294664,1143229947932229632
951892305098788864,955157569894404096
3010143902,2891740872
297020666,720579941184757760
297020666,282526718
297020666,272250877
297020666,3299711869
297020666,883774859452579840
1045793762063060992,282526718
98588419,272185225
76179144,196717787
46956207,215632349
819853925184638976,412708728
16552108,45976740
16552108,2891740872
29754743,280552762
29754743,196717787
29754743,109144163
153515520,1707636642
386330680,1646334073
2736446758,780323935
35095520,25127782
1239564608941113347,14079041
1239564608941113347,215632349
1239564608941113347,593944500
58261480,119925381
169614697,45976740
1005522675761057792,16014404
816308397360508928,47338701
1407160205117435908,34606493
1175457080561537025,177347829
1011936943247101952,2891740872
365078935,341866567
17540009,739149720
49660950,20199202
49660950,272185225
49660950,1722999380
296549487,158095776
1228605451,3188558830
1122706063466356737,524557553
234593598,261772246
1204301854433316866,2352629420
1204430581410353154,17823761
893202244077854721,1707636642
22971125,61521038
1193458951976869888,360677740
785853390,59686058
322106815,1420552213253038080
1957597519,335769776
1101092779378249729,943174774154498048
3331826578,3356795013
38720614,1382491059247255554
2912843536,17823761
183642459,631988630
2247495353,45976740
2748289416,34606493
2592210108,417524720
103701079,360677740
1352713370772770816,1144289639924207616
1352713370772770816,215632349
86410896,739149720
1038301598,14079041
1038301598,15810950
1134248217472843787,1125543746697924609
999320625117196288,1143229947932229632
18390213,324555383
18390213,1144289639924207616
18390213,341866567
18390213,196717787
768295011007934469,2352629420
768295011007934469,38625077
768295011007934469,45976740
768295011007934469,266855812
1262878353431777280,1063494232126689280
729232479840800768,14538949
1415442622135603206,2344419362
346123223,34606493
167912183,277332906
1076249609125675010,1646334073
67793897,2852899113
823096488,714340176
50154666,45848808
302593437,417389780
302593437,1002181382
302593437,14079041
291862583,714340176
168371680,25813888
1251332171211644931,321752222
962073414,3188558830
291523600,417389780
277085673,1063494232126689280
62664213,61521038
1337551744457469952,436087744
716460064039575552,739149720
3007815702,47338701
55819705,211564038
1404102585317986308,408072407
1280249212567818240,2937436849
740981264740679681,1899063048
247511435,198927392
1303772129847111681,215632349
1027307702047961088,737359208945844224
1020156666204090368,25127782
38751529,20139753
718873385346797569,2715275551
285806588,29754743
541129316,109144163
1655457050,803381983
57759275,343059330
824281652423753728,1125543746697924609
132015712,2891740872
40647043,119925381
12992772,20199202
365132365,158458133
1129088815,85428184
1262268501823303680,45976740
288548798,14079041
87632735,2891740872
1252686295,720083863830069249
25333228,2332742508
1093876945,40550119
1093876945,25813888
205786669,177347829
205786669,2332742508
205786669,575497430
1942350667,24990450
2863551224,714340176
2863551224,341866567
2863551224,791282631006621696
2863551224,401738614
2863551224,283226685
