Id,Label,timeset,twittername,first name,last name,political affiliation,influence,betweenness_centrality,communityid,out_degree_centrality,in_degree_centrality,polygon
83508245,,,dckurek,Damien,Kurek,Conservative,0.017057,127428.131518,3,0,0.003127,6
4568748862,,,ziad_aboultaif,Ziad,Aboultaif,Conservative,0.006978,40337.761048,3,0,0.000782,6
44070432,,,LailaGoodridge,Laila,Goodridge,Conservative,0.010854,62169.550313,3,0,0.001787,6
1425866189780160514,,,POhara2021,Patrick,O'Hara,Bloc Québécois,0.02801,33266.819168,4,0.000447,0.002569,6
1420552213253038080,,,NathalieSincla3,Nathalie,Sinclair-Desgagné,Bloc Québécois,0.030237,107366.83136,4,0,0.006143,6
335769776,,,jwaldag,John,Aldag,Liberal,0.032951,346977.208416,1,0.000112,0.005585,6
401738614,,,BerubeABJNE,Sylvie,Bérubé,Bloc Québécois,0.015118,11046.758467,4,0,0.002569,6
1173429508034220032,,,ClaudeDBF_bq,Claude,DeBellefeuille,Bloc Québécois,0.004264,0,4,0,0.000112,6
1187132490684784642,,,LouiseChabotBQ,Louise,Chabot,Bloc Québécois,0.005427,143.409471,4,0,0.000447,6
16279532,,,terrybeech,Terry,Beech,Liberal,0.011242,85418.333933,1,0.000112,0.001787,6
216469057,,,seblemire,Sébastien,Lemire,Bloc Québécois,0.005815,1.918236,4,0,0.000447,6
1342125115383939073,,,JeanDenisGaron1,Jean-Denis,Garon,Bloc Québécois,0.11494,470222.993257,4,0.00067,0.013292,6
273262205,,,A_Larouche_Shef,Andréanne,Larouche,Bloc Québécois,0.047246,306018.266518,4,0,0.006255,6
3234862179,,,BlanchetteMax,Maxime,Blanchette-Joncas,Bloc Québécois,0.017832,11978.547634,4,0,0.002681,6
261772246,,,mariosimardbq,Mario,Simard,Bloc Québécois,0.021133,94914.333268,4,0.000335,0.003351,6
38625077,,,sukhdhaliwal,Sukh,Dhaliwal,Liberal,0.037215,265744.621401,1,0,0.005585,6
1063494232126689280,,,JulieVignolaBL,Julie,Vignola,Bloc Québécois,0.106992,508298.854797,4,0,0.016084,6
335361064,,,martchampoux,Martin,Champoux,Bloc Québécois,0.054659,581107.48245,4,0,0.010723,6
1125543746697924609,,,MHGaudreauBQ,Marie-Hélène,Gaudreau,Bloc Québécois,0.077531,473793.793513,4,0.000335,0.009159,6
25127782,,,HedyFry,Hedy,Fry,Liberal,0.098852,1420781.896899,1,0.000335,0.017089,6
24990450,,,renevillemure,René,Villemure,Bloc Québécois,0.068354,595854.835476,4,0,0.008489,6
3025416359,,,yvesperronbq,Yves,Perron,Bloc Québécois,0.037438,37776.776208,4,0,0.003909,6
1143229947932229632,,,LucDesiletsBQ,Luc,Desilets,Bloc Québécois,0.134386,812987.549734,4,0.000112,0.019547,6
521630301,,,SPSTremblay,Simon-Pierre,Savard-Tremblay,Bloc Québécois,0.004264,0,3,0,0.000112,6
1044738781171961856,,,GregMcLeanYYC,Greg,McLean,Conservative,0.012793,126379.580287,3,0,0.002122,6
2254171724,,,RonLiepert,Ron,Liepert,Conservative,0.011978,27037.479464,3,0,0.001005,6
272617171,,,earl_dreeshen,Earl,Dreeshen,Conservative,0.005039,8966.780443,3,0,0.000335,6
3115495914,,,MartinBowRiver,Martin,Shields,Conservative,0.01163,88131.34765,3,0,0.001452,6
737359208945844224,,,BobBenzen,Bob,Benzen,Conservative,0.084896,1233496.326678,3,0,0.015972,6
3375064758,,,ArnoldViersen,Arnold,Viersen,Conservative,0.034501,486652.698863,3,0.000112,0.0086,6
720083863830069249,,,GlenMotz,Glen,Motz,Conservative,0.025973,286902.320034,3,0,0.005361,6
2555308646,,,PatKelly_MP,Pat,Kelly,Conservative,0.022057,124266.220158,3,0,0.003574,6
268528986,,,tomkmiec,Tom,Kmiec,Conservative,0.006978,36055.584533,3,0,0.000894,6
1722999380,,,StephanieKusie,Stephanie,Kusie,Conservative,0.050007,551270.83897,3,0.000558,0.010834,6
156288226,,,BlaineFCalkins,Blaine,Calkins,Conservative,,,,,,6
15810950,,,jeneroux,Matt,Jeneroux,Conservative,0.025701,188022.679055,3,0,0.003686,6
270570153,,,JohnBarlowMP,John,Barlow,Conservative,0.008916,64318.591966,3,0,0.001452,6
2149496034,,,Cooper4SAE,Michael,Cooper,Conservative,0.022096,313930.56426,3,0,0.00525,6
24171225,,,BlakeRichardsMP,Blake,Richards,Conservative,0.006978,44557.122959,3,0,0.000894,6
129395750,,,MikeLakeMP,Mike,Lake,Conservative,0.036827,278717.664759,3,0.000223,0.00525,6
14538949,,,MichelleRempel,Michelle,Rempel Garner,Conservative,0.10738,1449558.989872,3,0,0.0191,6
3358671,,,KenHardie,Ken,Hardie,Liberal,0.010854,37051.950849,1,0,0.001229,6
964829521,,,MelArnoldMP,Mel,Arnold,Conservative,0.009304,23179.088025,3,0,0.00134,6
1093140187486539777,,,FrankCaputoMD,Frank,Caputo,Conservative,0.007365,15,17,0,0.00067,6
248866864,,,MarcDalton,Marc,Dalton,Conservative,0.016669,181041.594434,3,0,0.003127,6
1283934079,,,KerryLynneFindl,Kerry-Lynne,Findlay,Conservative,0.008916,46832.172197,3,0,0.00134,6
2733595406,,,TracyGrayKLC,Tracy,Gray,Conservative,0.009304,80980.672839,3,0,0.00134,6
1278253171,,,BradleyVis,Brad,Vis,Conservative,0.012405,95078.484844,3,0,0.002234,6
176207343,,,bobzimmermp,Bob,Zimmer,Conservative,0.017057,230207.729025,3,0,0.003463,6
2375818352,,,ChristineNorm,Christine,Normandin,Bloc Québécois,0.005815,11.393343,4,0,0.000447,6
3071709259,,,RaquelDancho,Raquel,Dancho,Conservative,0.007753,23691.15442,3,0,0.001117,6
1686740173,,,LarryMaguireMP,Larry,Maguire,Conservative,0.006978,27974.075946,3,0.000223,0.000894,6
324555383,,,MBDan7,Dan,Mazier,Conservative,0.005427,26712,6,0,0.000447,6
1021022461,,,marty_morantz,Marty,Morantz,Conservative,0.00659,17986.482512,3,0,0.000782,6
1104590774,,,RichardBragdon,Richard,Bragdon,Conservative,0.005427,9228.557278,3,0,0.000335,6
237281828,,,RobMoore_CPC,Rob,Moore,Conservative,0.004652,4166.038548,3,0,0.000223,6
321752222,,,JohnWilliamson_,John,Williamson,Conservative,0.02481,319065.027764,3,0,0.005361,6
172004509,,,ScottAAitchison,Scott,Aitchison,Conservative,0.01977,206564.604172,3,0,0.004579,6
243709627,,,DeanAllisonMP,Dean,Allison,Conservative,0.004264,0,3,0,0.000112,6
38100599,,,JohnBrassardCPC,John,Brassard,Conservative,0.009304,54019.74149,3,0,0.001005,6
4504267216,,,m_pauze,Monique,Pauzé,Bloc Québécois,0.023259,60179.970466,4,0,0.003239,6
63210367,,,ColinCarrieCPC,Colin,Carrie,Conservative,,,,,,6
1319298517,,,adamchamb,Adam,Chambers,Conservative,0.009691,84632.648213,3,0,0.001675,6
1084856644687679496,,,ScotDavidsonMP,Scot,Davidson,Conservative,0.008141,81786.598548,3,0,0.001229,6
3530226858,,,TerryDowdall,Terry,Dowdall,Conservative,0.013568,101213.002668,3,0,0.00201,6
2530008414,,,krimichaudbq,Kristina,Michaud,Bloc Québécois,0.069101,200041.822184,4,0.000112,0.009047,6
1026225299057389569,,,DaveEppCKL,Dave,Epp,Conservative,0.007365,41115.821149,3,0,0.000894,6
739149720,,,mferreriptbokaw,Michelle,Ferreri,Conservative,0.13614,2776032.751543,3,0.000112,0.027477,6
791282631006621696,,,MarilynGladuSL,Marilyn,Gladu,Conservative,0.030547,168767.246717,3,0,0.005026,6
1382491059247255554,,,Shelby_Kramp,Shelby,Kramp-Neuman,Conservative,0.042642,422347.472387,3,0,0.007484,6
989311745100566529,,,PLawrenceMP,Philip,Lawrence,Conservative,0.030198,167314.312055,3,0.000112,0.005585,6
1034798285389737984,,,ChrisLewisEssex,Chris,Lewis,Conservative,0.008916,39290.273941,3,0,0.000894,6
1851503720,,,BenLobbMP,Ben,Lobb,Conservative,0.006978,62314,3,0,0.000894,6
897770628,,,DaveMacKenzieMP,Dave,MacKenzie,Conservative,0.005427,8919.353583,3,0,0.000335,6
343059330,,,Eric_Melillo,Eric,Melillo,Conservative,0.033338,546327.727789,3,0.000112,0.007372,6
3356795013,,,Gabriel_SMarie,Gabriel,Ste-Marie,Bloc Québécois,0.020546,31925.921124,4,0,0.003574,6
47158291,,,danmuysforfg,Dan,Muys,Conservative,0.012017,59078.940067,3,0,0.00201,6
34606493,,,JohnNaterMP,John,Nater,Conservative,0.019654,153897.887274,3,0,0.003463,6
4104867797,,,ATherrienBQ,Alain,Therrien,Bloc Québécois,0.014343,57679.872431,4,0.000335,0.002904,6
283179858,,,ScottReidCPC,Scott,Reid,Conservative,,,,,,6
876849435820474368,,,Lianne_Rood,Lianne,Rood,Conservative,0.008141,70009.053382,3,0,0.001229,6
1086084557009575936,,,AlexRuff17,Alex,Ruff,Conservative,0.056597,705669.900703,3,0,0.008936,6
256552850,,,Jamie_Schmale,Jamie,Schmale,Conservative,0.020204,49975.658412,3,0,0.000894,6
