Source,Target
260265236,Conservative
787774368566816768,Conservative
857464194626727936,Conservative
1307814874999742464,Conservative
2550603348,Conservative
588883728,Conservative
2151791810,Conservative
260265236,Conservative
1218282094213967875,Conservative
298222364,Conservative
1621356932,Conservative
1178575157364850689,Conservative
184975034,Conservative
458039162,Conservative
1421131101922332672,Conservative
857464194626727936,Conservative
1023170244766883840,Conservative
19352912,Conservative
1388453968888619009,Conservative
766392155258679296,Conservative
965449397717749760,Conservative
1408913981293662208,Conservative
903430820312076289,Conservative
3050546779,Conservative
1307814874999742464,Conservative
2331287820,Conservative
2550603348,Conservative
810723502768713728,Conservative
588883728,Conservative
2735613917,Conservative
2151791810,Conservative
1446352422272528385,Conservative
76768423,Conservative
184853651,Conservative
588497903,Conservative
1419746989449744396,Conservative
1442234721505742858,Conservative
1440509126216347656,Conservative
1446352422272528385,Conservative
1440509126216347656,Conservative
2318113219,Conservative
17111337,Conservative
1421263144274567172,Conservative
113654419,Conservative
2150171849,Conservative
1072692868651737088,Conservative
1238641643558928384,Conservative
733429965333520390,Conservative
18158343,Conservative
1421263144274567172,Conservative
186980225,Conservative
51346243,Conservative
15331235,Conservative
180088458,Conservative
1446352422272528385,Conservative
3010165940,Conservative
76768423,Conservative
15331235,Conservative
461582174,Conservative
2285515771,Conservative
129316450,Bloc Québécois
16014404,Bloc Québécois
182401775,Bloc Québécois
2370756440,Bloc Québécois
596009099,Bloc Québécois
1279885961841819649,Bloc Québécois
2212712047,Bloc Québécois
2801095093,Bloc Québécois
1249029070886666240,Bloc Québécois
600234980,Bloc Québécois
115587493,Bloc Québécois
1707025764,Bloc Québécois
1433606604218408963,Bloc Québécois
1917792367,Bloc Québécois
2797134487,Bloc Québécois
154915250,Bloc Québécois
2400000572,Bloc Québécois
559023147,Bloc Québécois
1280337364993429504,Bloc Québécois
2693735376,Bloc Québécois
1125543746697924609,Bloc Québécois
1212150302788345857,Bloc Québécois
2693735376,Bloc Québécois
165100373,Bloc Québécois
494170583,Bloc Québécois
1251518605600206850,Bloc Québécois
557289715,Bloc Québécois
1009785173011988480,Bloc Québécois
578590553,Bloc Québécois
122999764,Bloc Québécois
1423390095562915849,Bloc Québécois
1350206209119444996,Bloc Québécois
122144451,Bloc Québécois
708387548859604992,Bloc Québécois
708387548859604992,Bloc Québécois
708387548859604992,Bloc Québécois
11408322,Bloc Québécois
1707025764,Bloc Québécois
2369459569,Bloc Québécois
1212150302788345857,Bloc Québécois
754319153951944704,Bloc Québécois
2506299709,Bloc Québécois
2363571329,Bloc Québécois
104372498,Bloc Québécois
600234980,Bloc Québécois
1279885961841819649,Bloc Québécois
105106236,Bloc Québécois
165100373,Bloc Québécois
599677550,Bloc Québécois
92821882,Bloc Québécois
633211148,Bloc Québécois
2975160689,Bloc Québécois
97904065,Bloc Québécois
377591697,Bloc Québécois
2693735376,Bloc Québécois
11408322,Bloc Québécois
1106771831837675521,Bloc Québécois
1040405782402084864,Bloc Québécois
243903847,Bloc Québécois
2801095093,Bloc Québécois
716760195729334272,Bloc Québécois
896911058459340800,Bloc Québécois
1251518605600206850,Bloc Québécois
1249029070886666240,Bloc Québécois
1277702514,Bloc Québécois
494170583,Bloc Québécois
633211148,Bloc Québécois
2339595207,Bloc Québécois
559023147,Bloc Québécois
2196475508,Bloc Québécois
1280337364993429504,Bloc Québécois
281121545,Bloc Québécois
2369459569,Bloc Québécois
4623339465,Bloc Québécois
219566719,Bloc Québécois
197607704,Bloc Québécois
