Id,Label,timeset,twittername,first name,last name,political affiliation,betweenness_centrality,communityid,out_degree_centrality
83508245,,,dckurek,Damien,Kurek,Conservative,127428.131518,3,0
4568748862,,,ziad_aboultaif,Ziad,Aboultaif,Conservative,40337.761048,3,0
44070432,,,LailaGoodridge,Laila,Goodridge,Conservative,62169.550313,3,0
1425866189780160514,,,POhara2021,Patrick,O'Hara,Bloc Québécois,33266.819168,4,0.000447
1420552213253038080,,,NathalieSincla3,Nathalie,Sinclair-Desgagné,Bloc Québécois,107366.83136,4,0
335769776,,,jwaldag,John,Aldag,Liberal,346977.208416,1,0.000112
401738614,,,BerubeABJNE,Sylvie,Bérubé,Bloc Québécois,11046.758467,4,0
1173429508034220032,,,ClaudeDBF_bq,Claude,DeBellefeuille,Bloc Québécois,0,4,0
1187132490684784642,,,LouiseChabotBQ,Louise,Chabot,Bloc Québécois,143.409471,4,0
16279532,,,terrybeech,Terry,Beech,Liberal,85418.333933,1,0.000112
216469057,,,seblemire,Sébastien,Lemire,Bloc Québécois,1.918236,4,0
1342125115383939073,,,JeanDenisGaron1,Jean-Denis,Garon,Bloc Québécois,470222.993257,4,0.00067
273262205,,,A_Larouche_Shef,Andréanne,Larouche,Bloc Québécois,306018.266518,4,0
3234862179,,,BlanchetteMax,Maxime,Blanchette-Joncas,Bloc Québécois,11978.547634,4,0
261772246,,,mariosimardbq,Mario,Simard,Bloc Québécois,94914.333268,4,0.000335
38625077,,,sukhdhaliwal,Sukh,Dhaliwal,Liberal,265744.621401,1,0
1063494232126689280,,,JulieVignolaBL,Julie,Vignola,Bloc Québécois,508298.854797,4,0
335361064,,,martchampoux,Martin,Champoux,Bloc Québécois,581107.48245,4,0
1125543746697924609,,,MHGaudreauBQ,Marie-Hélène,Gaudreau,Bloc Québécois,473793.793513,4,0.000335
25127782,,,HedyFry,Hedy,Fry,Liberal,1420781.896899,1,0.000335
24990450,,,renevillemure,René,Villemure,Bloc Québécois,595854.835476,4,0
3025416359,,,yvesperronbq,Yves,Perron,Bloc Québécois,37776.776208,4,0
1143229947932229632,,,LucDesiletsBQ,Luc,Desilets,Bloc Québécois,812987.549734,4,0.000112
521630301,,,SPSTremblay,Simon-Pierre,Savard-Tremblay,Bloc Québécois,0,3,0
1044738781171961856,,,GregMcLeanYYC,Greg,McLean,Conservative,126379.580287,3,0
2254171724,,,RonLiepert,Ron,Liepert,Conservative,27037.479464,3,0
272617171,,,earl_dreeshen,Earl,Dreeshen,Conservative,8966.780443,3,0
3115495914,,,MartinBowRiver,Martin,Shields,Conservative,88131.34765,3,0
737359208945844224,,,BobBenzen,Bob,Benzen,Conservative,1233496.326678,3,0
3375064758,,,ArnoldViersen,Arnold,Viersen,Conservative,486652.698863,3,0.000112
720083863830069249,,,GlenMotz,Glen,Motz,Conservative,286902.320034,3,0
2555308646,,,PatKelly_MP,Pat,Kelly,Conservative,124266.220158,3,0
268528986,,,tomkmiec,Tom,Kmiec,Conservative,36055.584533,3,0
1722999380,,,StephanieKusie,Stephanie,Kusie,Conservative,551270.83897,3,0.000558
156288226,,,BlaineFCalkins,Blaine,Calkins,Conservative,,,
15810950,,,jeneroux,Matt,Jeneroux,Conservative,188022.679055,3,0
270570153,,,JohnBarlowMP,John,Barlow,Conservative,64318.591966,3,0
2149496034,,,Cooper4SAE,Michael,Cooper,Conservative,313930.56426,3,0
24171225,,,BlakeRichardsMP,Blake,Richards,Conservative,44557.122959,3,0
129395750,,,MikeLakeMP,Mike,Lake,Conservative,278717.664759,3,0.000223
14538949,,,MichelleRempel,Michelle,Rempel Garner,Conservative,1449558.989872,3,0
3358671,,,KenHardie,Ken,Hardie,Liberal,37051.950849,1,0
964829521,,,MelArnoldMP,Mel,Arnold,Conservative,23179.088025,3,0
1093140187486539777,,,FrankCaputoMD,Frank,Caputo,Conservative,15,17,0
248866864,,,MarcDalton,Marc,Dalton,Conservative,181041.594434,3,0
1283934079,,,KerryLynneFindl,Kerry-Lynne,Findlay,Conservative,46832.172197,3,0
2733595406,,,TracyGrayKLC,Tracy,Gray,Conservative,80980.672839,3,0
1278253171,,,BradleyVis,Brad,Vis,Conservative,95078.484844,3,0
176207343,,,bobzimmermp,Bob,Zimmer,Conservative,230207.729025,3,0
2375818352,,,ChristineNorm,Christine,Normandin,Bloc Québécois,11.393343,4,0
3071709259,,,RaquelDancho,Raquel,Dancho,Conservative,23691.15442,3,0
1686740173,,,LarryMaguireMP,Larry,Maguire,Conservative,27974.075946,3,0.000223
324555383,,,MBDan7,Dan,Mazier,Conservative,26712,6,0
1021022461,,,marty_morantz,Marty,Morantz,Conservative,17986.482512,3,0
1104590774,,,RichardBragdon,Richard,Bragdon,Conservative,9228.557278,3,0
237281828,,,RobMoore_CPC,Rob,Moore,Conservative,4166.038548,3,0
321752222,,,JohnWilliamson_,John,Williamson,Conservative,319065.027764,3,0
172004509,,,ScottAAitchison,Scott,Aitchison,Conservative,206564.604172,3,0
243709627,,,DeanAllisonMP,Dean,Allison,Conservative,0,3,0
38100599,,,JohnBrassardCPC,John,Brassard,Conservative,54019.74149,3,0
4504267216,,,m_pauze,Monique,Pauzé,Bloc Québécois,60179.970466,4,0
63210367,,,ColinCarrieCPC,Colin,Carrie,Conservative,,,
1319298517,,,adamchamb,Adam,Chambers,Conservative,84632.648213,3,0
1084856644687679496,,,ScotDavidsonMP,Scot,Davidson,Conservative,81786.598548,3,0
3530226858,,,TerryDowdall,Terry,Dowdall,Conservative,101213.002668,3,0
2530008414,,,krimichaudbq,Kristina,Michaud,Bloc Québécois,200041.822184,4,0.000112
1026225299057389569,,,DaveEppCKL,Dave,Epp,Conservative,41115.821149,3,0
739149720,,,mferreriptbokaw,Michelle,Ferreri,Conservative,2776032.751543,3,0.000112
791282631006621696,,,MarilynGladuSL,Marilyn,Gladu,Conservative,168767.246717,3,0
1382491059247255554,,,Shelby_Kramp,Shelby,Kramp-Neuman,Conservative,422347.472387,3,0
989311745100566529,,,PLawrenceMP,Philip,Lawrence,Conservative,167314.312055,3,0.000112
1034798285389737984,,,ChrisLewisEssex,Chris,Lewis,Conservative,39290.273941,3,0
1851503720,,,BenLobbMP,Ben,Lobb,Conservative,62314,3,0
