,UserID,userName,id,likecount,rtcount,isrt,date
0,280552762,NLGnews,1449468543532158979,1,7,False,2021-10-16T20:13:25.000Z
1,280552762,NLGnews,1449468541011382289,1,9,False,2021-10-16T20:13:24.000Z
5,280552762,NLGnews,1448818082928078849,0,13,False,2021-10-15T01:08:43.000Z
6,280552762,NLGnews,1448816028918730753,0,7,False,2021-10-15T01:00:33.000Z
7,280552762,NLGnews,1448816027475795974,0,7,False,2021-10-15T01:00:33.000Z
8,280552762,NLGnews,1448816025907212291,6,16,False,2021-10-15T01:00:32.000Z
9,280552762,NLGnews,1448787131741220864,0,3,False,2021-10-14T23:05:44.000Z
11,280552762,NLGnews,1448728385858031618,0,3,False,2021-10-14T19:12:17.000Z
12,280552762,NLGnews,1448728382628368394,2,8,False,2021-10-14T19:12:17.000Z
18,280552762,NLGnews,1448293726875422734,3,6,False,2021-10-13T14:25:07.000Z
19,280552762,NLGnews,1448290914569445377,0,1,False,2021-10-13T14:13:56.000Z
20,280552762,NLGnews,1448290135091580943,0,2,False,2021-10-13T14:10:50.000Z
22,280552762,NLGnews,1447588391059660805,1,5,False,2021-10-11T15:42:21.000Z
23,280552762,NLGnews,1447588389528772609,14,40,False,2021-10-11T15:42:21.000Z
24,280552762,NLGnews,1447582082071515139,2,4,False,2021-10-11T15:17:17.000Z
26,280552762,NLGnews,1447358301759590403,6,12,False,2021-10-11T00:28:04.000Z
27,280552762,NLGnews,1446551122605445125,0,3,False,2021-10-08T19:00:37.000Z
28,280552762,NLGnews,1446551120537690116,2,6,False,2021-10-08T19:00:37.000Z
29,280552762,NLGnews,1446516457538531330,4,8,False,2021-10-08T16:42:53.000Z
30,280552762,NLGnews,1446220369917063170,5,12,False,2021-10-07T21:06:20.000Z
31,280552762,NLGnews,1446220074856165385,2,12,False,2021-10-07T21:05:09.000Z
33,280552762,NLGnews,1446187831622311939,0,2,False,2021-10-07T18:57:02.000Z
35,280552762,NLGnews,1446180614252777486,2,1,False,2021-10-07T18:28:21.000Z
36,280552762,NLGnews,1446180611144753157,6,9,False,2021-10-07T18:28:21.000Z
37,280552762,NLGnews,1445522999206051854,0,1,False,2021-10-05T22:55:14.000Z
38,280552762,NLGnews,1445522996815269893,0,11,False,2021-10-05T22:55:13.000Z
39,280552762,NLGnews,1445414554738036744,13,23,False,2021-10-05T15:44:19.000Z
42,280552762,NLGnews,1445056504319651858,10,16,False,2021-10-04T16:01:33.000Z
45,280552762,NLGnews,1444003798679179264,6,15,False,2021-10-01T18:18:28.000Z
49,280552762,NLGnews,1443596873248411649,1,5,False,2021-09-30T15:21:29.000Z
51,280552762,NLGnews,1443592367521484809,7,14,False,2021-09-30T15:03:35.000Z
52,280552762,NLGnews,1443591699444367371,0,2,False,2021-09-30T15:00:56.000Z
53,280552762,NLGnews,1443311949572366339,0,1,False,2021-09-29T20:29:18.000Z
54,280552762,NLGnews,1443311947529736194,0,2,False,2021-09-29T20:29:18.000Z
55,280552762,NLGnews,1442933371802243073,7,13,False,2021-09-28T19:24:58.000Z
56,280552762,NLGnews,1441502527472775170,13,19,False,2021-09-24T20:39:19.000Z
59,280552762,NLGnews,1441438710491488256,0,3,False,2021-09-24T16:25:43.000Z
61,280552762,NLGnews,1440809146123579393,4,5,False,2021-09-22T22:44:04.000Z
67,280552762,NLGnews,1440053584477908993,10,20,False,2021-09-20T20:41:44.000Z
68,280552762,NLGnews,1439994663289638912,1,2,False,2021-09-20T16:47:36.000Z
69,280552762,NLGnews,1439994288658595844,3,6,False,2021-09-20T16:46:06.000Z
72,280552762,NLGnews,1439993254108438530,6,6,False,2021-09-20T16:42:00.000Z
73,238248595,CanadianCBR,1450153770508300288,0,0,False,2021-10-18T17:36:16.000Z
74,22665788,fotfcanada,1451656602868715525,0,0,False,2021-10-22T21:07:59.000Z
75,22665788,fotfcanada,1451611517338718230,0,0,False,2021-10-22T18:08:50.000Z
76,22665788,fotfcanada,1451581275018600480,0,1,False,2021-10-22T16:08:39.000Z
