Source,Target,Type,Id,Label,timeset,Weight
1385933370090209280,158095776,Directed,0,,,1
1416535505454338050,158095776,Directed,1,,,8
544695802,158095776,Directed,4,,,1
716257068538327040,158095776,Directed,5,,,1
258170457,158095776,Directed,6,,,1
2817389862,158095776,Directed,8,,,1
822476228548403200,158095776,Directed,9,,,1
2353730881,158095776,Directed,10,,,1
921026239808208896,158095776,Directed,11,,,1
720934098223542272,158095776,Directed,12,,,1
2922779039,158095776,Directed,13,,,1
552891173,158095776,Directed,14,,,1
982496635,158095776,Directed,15,,,1
1433403537329819654,158095776,Directed,16,,,1
1175052073605353473,158095776,Directed,17,,,1
2784661153,158095776,Directed,18,,,1
102887506,18681111,Directed,19,,,1
952980338745147394,18681111,Directed,20,,,1
1438871779779530755,18681111,Directed,21,,,1
46975259,18681111,Directed,22,,,1
1157395568135557120,18681111,Directed,23,,,1
563064119,18681111,Directed,24,,,1
979827806023618560,18681111,Directed,25,,,2
18308257,18681111,Directed,26,,,1
846667915,18681111,Directed,28,,,1
258916078,18681111,Directed,29,,,1
1138564320390836224,18681111,Directed,30,,,1
17912334,18681111,Directed,31,,,1
2821464243,18681111,Directed,32,,,2
928790819145842688,18681111,Directed,33,,,1
753638148958216192,18681111,Directed,34,,,1
2256955027,18681111,Directed,35,,,1
1185936230393024512,18681111,Directed,36,,,2
3021899490,18681111,Directed,37,,,1
13880132,18681111,Directed,39,,,2
960624707820113920,18681111,Directed,40,,,1
52003137,18681111,Directed,41,,,1
1887595058,18681111,Directed,42,,,1
331864347,18681111,Directed,43,,,1
961514730,18681111,Directed,44,,,1
70750793,18681111,Directed,45,,,1
155629527,18681111,Directed,47,,,1
1161351506983038976,18681111,Directed,48,,,1
766360387,18681111,Directed,49,,,1
150270263,18681111,Directed,50,,,1
38471212,18681111,Directed,51,,,1
83153695,18681111,Directed,52,,,1
118937966,18681111,Directed,53,,,1
871189841186357248,18681111,Directed,54,,,1
293403080,18681111,Directed,55,,,1
629539554,18681111,Directed,56,,,1
1104422828,18681111,Directed,57,,,1
602083976,18681111,Directed,58,,,1
1311896805920043009,18681111,Directed,59,,,1
1318741345905922048,18681111,Directed,60,,,1
25314619,18681111,Directed,62,,,1
104300984,18681111,Directed,63,,,1
15702055,18681111,Directed,64,,,1
1153463878195589125,18681111,Directed,65,,,1
15633240,18681111,Directed,66,,,1
14991184,18681111,Directed,67,,,1
1242522201770856449,18681111,Directed,68,,,1
1440522413687521295,106524304,Directed,69,,,1
1292608204845834241,106524304,Directed,70,,,1
1446846657551683588,106524304,Directed,71,,,1
1389700907697270787,106524304,Directed,72,,,1
